French,English
partie,part
histoire,history
frère,brother
laisse,leash
devrait,should
longtemps,long time
vont,will
place,square
compris,understood
étaient,were
voici,here is
type,type
leurs,their
donné,given
corps,body
endroit,place
tellement,so much
enfant,child
devant,in front of
chambre,bedroom
mis,placed
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
arrêter,Stop
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
